,title,subtitle,author,publication_date,language,genre,resource_type,creation_date
0,Painting is a supreme fiction,"writings by Jesse Murry, 1980-1993","[['Murry, Jesse'], ['Earnest, Jarrett'], ['Als, Hilton']]",2021,English,"['text', 'still image']",text,2021
1,"Beat the story-drum, pum-pum",,"[['Bryan, Ashley'], ['Ahern, M. M.'], ['Atheneum (New York, N.Y.)'], ['Connecticut Printers'], ['A. Horowitz & Son']]",1980,English,"['text', 'still image', 'fairy tales.', 'Fairy tales', 'Folklore', 'Fairy tales', 'Dust jackets (Binding)-1980.', 'Folk tales-1980.', ""Authors' autographs (Provenance)-Bryan-1980."", ""Authors' presentation inscription (Provenance)-Bryan-1980."", 'Contes de fées.']",text,1980
2,preparation of the novel,"lecture courses and seminars at the Collège de France, 1978-1979 and 1979-1980","[['Barthes, Roland'], ['Briggs, Kate'], ['Léger, Nathalie']]",2011,English,bibliography,text,2010
3,Information through the printed word,,"[['Machlup, Fritz'], ['Leeson, Kenneth'], ['Leeson, Kenneth']]",1980,English,bibliography,text,1978
4,green book,NaN,"Qaddafi, Muammar",1980,English,government publication,text,1981
5,ancient city ,"a study on the religion, laws, and institutions of Greece and Rome ","[['Fustel de Coulanges,'], ['Momigliano, Arnaldo.']]",c1980,English,bibliography,text,1979
6,Dancehall,the rise of Jamaican dancehall culture,"Lesser, Beth",,English,"['bibliography', 'biography', 'Illustrated works']",text,2008
7,Passion over reason,Tom Thomson & Joyce Wieland = La passion avant la raison : Tom Thomson et Joyce Wieland,"[['Thomson, Tom'], ['Wieland, Joyce'], ['Logan, Zachari'], ['Stanners, Sarah'], ['Dejardin, Ian A. C.'], ['Hudson, Anna'], ['Charles, Daisy'], ['Chevalier, Lucie'], ['Paulson, Ingrid'], ['McMichael Canadian Art Collection']]",2017,English,"['bibliography', 'text', 'still image', 'exhibition catalogs.', ""artists' books (books)"", ""Artists' books"", 'Exhibition catalogs', 'Exhibition catalogs', ""Artists' books"", ""Catalogues d'exposition."", ""Livres d'artistes.""]",text,2017
8,Shomotsu zuihitsu,NaN,"[['Saitō, Shōzō'], ['Gotō, Kenji'], ['斎藤昌三'], ['後藤憲二.']]",1981,Japanese,text,text,1999
9,"Martyrdom, mysticism and dissent",,"Seyed-Gohrab, A. A. (Ali Asghar)",2021,English,"['bibliography', 'text', 'History']",text,2021
10,romanischen Handschriften der Bayerischen Staatsbibliothek,,"[['Klemm, Elisabeth'], ['Klemm, Elisabeth'], ['Bayerische Staatsbibliothek']]",9999,German,"['bibliography', 'Catalogs']",text,1982
11,Essays in medieval culture,,"Robertson, D. W. (Durant Waite)",1980,English,"['bibliography', 'text']",text,1980
12,1980,,"[['Cullen, Jim'], ['Janus, Facing']]",2022,English,"['dictionary', 'government publication', 'text']",text,2023
13,Bookbinding,,"[['Diehl, Edith'], ['Kennedy, Paul E.'], ['Dover Publications, Inc']]",1980,English,"['bibliography', 'text', 'Handbook', 'handbooks.', 'History', 'Handbooks and manuals', 'Handbooks and manuals', 'Guides et manuels.']",text,1981
14,"Second supplementary catalogue of Tamil books in the British Library, Department of Oriental Manuscripts and Printed Books",NaN,"[['British Library'], ['Gaur, Albertine']]",,English,"['bibliography', 'Catalogs']",text,1983
15,Books in native languages in the collection of the Rare Books and Manuscripts Division of the National Library of Canada =,Livres en langues autochtones dans la collection de la Division des livres rares et des manuscrits de la Bibliothèque nationale du Canada,"[['National Library of Canada'], ['Banks, Joyce M.'], ['Banks, Joyce.']]",,English,"['bibliography', 'government publication', 'Bibliographies-Catalogs', 'Catalogs']",text,1980
16,Nihon no sankō tosho,kaisetsu sōran,"[['Nihon Toshokan Kyōkai'], ['日本図書館協会'], ['日本の参考図書編集委員会']]",1980,Japanese,"['bibliography', 'text', 'Bibliographies']",text,1983
17,Earlier ,,"Frere-Jones, Sasha",2023,English,"['essay', 'text', 'Autobiography', 'autobiographies (literary works)', 'Creative nonfiction', 'Essays', 'Autobiographies', 'Essais fictionnels.', 'Autobiographies.']",text,2023
18,California printing,,"[['Reagh, Patrick'], ['Kirshenbaum, Sandra'], ['Karmiole, Kenneth'], ['Bliss, Carey S.'], ['Dawson, Muir'], ['Johnson, Bruce L.'], ['Harlan, Robert D.'], ['Hager, Anne Marie'], ['Hager, Everett Gordon'], ['Book Club of California']]",1987,English,"['bibliography', 'Bibliographies', 'Bibliographies', 'Printed wrappers (Binding)', 'Bibliographies.', 'Private press books (Printing)', 'Printing in multiple colors (Printing)', 'Printed wrappers (Binding)', 'Bibliographies.', 'Private press books (Printing)', 'Printing in multiple colors (Printing)']",text,1982
19,reader in the text,,"[['Suleiman, Susan Rubin'], ['Wimmers, Inge Crosman']]",1980,English,"['bibliography', 'text']",text,1979
20,Nanbā 7,NaN,"[['Tezuka, Osamu'], ['手塚治虫']]",1981,Japanese,"['Comics (Graphic works)', 'Graphic novels', 'Fantacy fiction.', 'Comics (Graphic works)', 'Graphic novels']",text,1999
21,Reasoning about discrimination,,"Lester, Richard Allen",1980,English,"['bibliography', 'text']",text,1979
22,Philip Guston,a life spent painting,"[['Storr, Robert'], ['Guston, Philip'], ['Renshaw, Amanda']]",2020,English,"['bibliography', 'biography', 'text', 'still image', 'Chronologies', 'Biographies', 'Criticism, interpretation, etc.']",text,2018
23,Lipid research clinics population studies data book,NaN,"National Heart, Lung, and Blood Institute",9999,English,"['bibliography', 'government publication', 'Statistics', 'Statistics']",text,1981
24,Umi no Toriton,NaN,"[['Tezuka, Osamu'], ['手塚治虫']]",1980,Japanese,"['Comics (Graphic works)', 'Graphic novels', 'Fantacy fiction.', 'Comics (Graphic works)', 'Graphic novels']",text,1999
25,economic crisis and American society,NaN,"Castells, Manuel",1980,English,"['bibliography', 'text']",text,1979
26,Second book of the harpsicord master,"(1700) ; and, the Third book of the harpsicord master (1702)",NaN,1980,No linguistic content; Not applicable,"['notated music', 'Scores']",notated music,1980
27,rise and fall of socialist Yugoslavia,elite nationalism and the collapse of a federation,"[['Flere, Sergej'], ['Klanjšek, Rudi']]",2019,English,"['bibliography', 'text', 'History']",text,2019
28,"Catalogue of early Armenian books, 1512-1850",,"[['British Library'], ['Nersessian, Vrej'], ['Bodleian Library']]",,English,"['bibliography', 'government publication', 'Bibliographies-Catalogs', 'Catalogs']",text,1981
29,Autobiography,,"Olney, James",1980,English,"['bibliography', 'text']",text,1979
30,Human resources in Japanese industrial development,,"[['Levine, Solomon Bernard'], ['Kawada, Hisashi']]",1980,English,"['bibliography', 'text']",text,1979
31,Kierkegaard's relation to Hegel,NaN,"[['Thulstrup, Niels'], ['Stengren, George L.']]",1980,English,"['bibliography', 'biography', 'text']",text,1979
32,Landlords and tenants in imperial Rome,,"Frier, Bruce W.",1980,English,"['bibliography', 'text']",text,1980
33,"Directory of publishers, printers & book sellers in the Caribbean Community",NaN,Caribbean Community,1980,English,"['directory', 'government publication', 'Directories']",text,1981
34,Beautiful Bali,,"Blackwood, Robert",,English,bibliography,text,1981
35,Psychopharmacology of aging,,"[['Fann, William E.'], ['Eisdorfer, Carl']]",,English,NaN,text,1980
36,American national standard for book numbering,,"[['American National Standards Institute'], ['Paul, Sandra K.'], ['Council of National Library and Information Associations (U.S.)']]",1980,English,NaN,text,1980
37,"Papers of Ernst Mayr [accessions], 1904 and 1920-2005",NaN,"Mayr, Ernst",2005,English,NaN,"{'@collection': 'yes', '@manuscript': 'yes', '#text': 'mixed material'}",2008
38,Basic books in the mass media,,"Blum, Eleanor",1980,English,"['bibliography', 'Bibliographies']",text,1980
39,open book,,"Huston, John",,English,"['biography', 'Autobiographies', 'Biographies', 'Autobiographies']",text,1980
40,Political theory and political education,,"[['Richter, Melvin'], ['Conference for the Study of Political Thought']]",1980,English,"['bibliography', 'conference publication', 'text']",text,1979
41,Glossolalia ,,"[['Hacla, Marlon,'], ['Muslim, Kristine Ong,'], ['Mendoza, Amado Anthony G.,'], ['Ugly Duckling Presse'], ['Sheridan Saline (Firm)']]",2023,English,"['text', 'Poetry and poems.', 'poetry.', 'Translations', 'Poetry', 'Poésie.']",text,2023
42,Buchkunst in Deutschland,,"Eyssen, Jürgen.",,German,"['bibliography', 'History']",text,1981
43,Demand Functions and the Slutsky Matrix. (PSME-7),,"Afriat, Sydney N.",1980,English,"['government publication', 'text']",text,2015
44,letters of Edward FitzGerald,NaN,"[['FitzGerald, Edward'], ['Terhune, Alfred McKinley'], ['Terhune, Annabelle Burdick']]",1980,English,"['biography', 'text']",text,2014
45,Russian church singing,NaN,"[['Gardner, Johann von.'], ['Morosan, Vladimir']]",2000,English,"['bibliography', 'Criticism, interpretation, etc.']",text,1979
46,Hi no tori,Shōjo kurabu ban,"[['Tezuka, Osamu'], ['手塚治虫']]",1980,Japanese,"[""Girls' manga-Shōwa 1945-1989"", 'Drama manga-Shōwa 1945-1989']",text,1999
47,"Bibliographical Society of America, 1904-79",,"[['Blanck, Jacob'], ['Bibliographical Society of America']]",,English,"['bibliography', 'Association copies (Provenance)']",text,1980
48,question of Palestine,,"Said, Edward W.",1979,English,"['bibliography', 'History']",text,1980
49,"Interpretation, an essay in the philosophy of literary criticism",,"Juhl, P. D. (Peter D.)",1980,English,"['bibliography', 'text']",text,1980
50,life in the fiction of Ford Madox Ford,,"Moser, Thomas C.",1980,English,"['bibliography', 'biography', 'text']",text,1980
51,"Three British revolutions, 1641, 1688, 1776",,"Pocock, J. G. A. (John Greville Agard)",1980,English,"['bibliography', 'text']",text,1980
52,War and rural life in the early modern Low Countries,,"Gutmann, Myron P.",1980,English,text,text,1979
53,Tamil temple myths,,"Shulman, David Dean",1980,English,"['bibliography', 'text']",text,1979
54,Cabanis,,"Staum, Martin S.",1980,English,"['bibliography', 'biography', 'text']",text,1979
55,Female labor supply,,"[['Smith, James P.'], ['Cogan, John F.']]",1980,English,"['bibliography', 'text']",text,1979
56,"Ugo Foscolo, poet of exile",,"Cambon, Glauco",1980,English,"['bibliography', 'biography', 'text']",text,1979
57,Education and equality in Japan,,"Cummings, William K.",1980,English,"['bibliography', 'text']",text,1979
58,"Businessmen and politics in the Rhineland, 1789-1834",,"Diefendorf, Jeffry M.",1980,English,"['bibliography', 'text']",text,1979
59,"Tokutomi Soho, 1863-1957, a journalist for modern Japan",,"Pierson, John D.",1980,English,"['bibliography', 'biography', 'text']",text,1979
60,Just play,,"Cohn, Ruby",1980,English,"['bibliography', 'biography', 'text']",text,1979
61,Comedy and culture,,"Henkle, Roger B.",1980,English,"['bibliography', 'text']",text,1979
62,modern Japanese prose poem,,"Keene, Dennis",1980,English,"['bibliography', 'text']",text,1979
63,end of the Russian Imperial Army,,"Wildman, Allan K.",1980,English,"['bibliography', 'text']",text,2014
64,modern school movement,,"[['Avrich, Paul'], ['Paul Avrich Collection (Library of Congress)']]",1980,English,"['bibliography', 'biography', 'text']",text,1979
65,Identity and essence,,"Brody, Baruch A.",1980,English,"['bibliography', 'text']",text,1980
66,Social order and the limits of law,,"Jenkins, Iredell",1980,English,"['bibliography', 'text']",text,1979
67,Power/knowledge,,"[['Foucault, Michel'], ['Gordon, Colin.'], ['Gordon, Colin']]",1980,English,bibliography,text,1980
68,Frenzy,,"[['Tawaraya, Tetsunori'], ['Woo, Chris'], ['Colour Code (Firm)']]",2024,English,"['still image', 'Risograph.', 'case bindings (gathered matter components)', 'Risographs', 'Wordless comics', 'Graphic novels.', 'Risographies.', 'Bandes dessinées muettes.']",text,2024
69,Manuscrits enluminés d'origine italienne,NaN,"[['Bibliothèque nationale (France)'], ['Avril, François.'], ['Załuska, Yolanta.'], ['Gousset, Marie-Thérèse'], ['Rabel, Claudia'], ['Aniel, Jean-Pierre.'], ['Centre de recherche sur les manuscrits enluminés (France)']]",9999,French,"['bibliography', 'government publication', 'Catalogs', 'Catalogs.']",text,1982
70,Ancient Iraq,,"Roux, Georges",,English,"['bibliography', 'text', 'History']",text,1980
71,Repro memento,,"Osborn, Kevin",1980,English,"['still image', 'text', ""artists' books (books)"", ""Artists' books"", ""Artists' books"", ""Artists' books.""]",text,1983
72,Book marketing handbook,,"Bodian, Nat G.",,English,"['Handbook', 'Handbooks and manuals', 'Handbook', 'Handbooks and manuals.', 'Handbooks and manuals.']",text,1980
73,Hon no engawa =,Engawa : the open book veranda,"[['Yahagi, Tamon'], ['矢萩多聞']]",2019,Japanese,text,text,2020
74,Śrīmadbhāgavatam =,"Srimad Bhagavata, the holy book of God",Tapasyananda,1982,English,Sacred books,text,1982
75,Ambassador MacVeagh reports,,"[['MacVeagh, Lincoln'], ['Iatrides, John O.']]",1980,English,"['bibliography', 'biography', 'text']",text,1979
76,Internal migration during modernization in late nineteenth-century Russia,,"Anderson, Barbara A.",1980,English,"['bibliography', 'text']",text,1980
77,formation of a provincial nobility,,"Dewald, Jonathan",1980,English,"['bibliography', 'text']",text,1979
78,centralist tradition of Latin America,,"Veliz, Claudio",1980,English,"['bibliography', 'text']",text,1979
79,"nobility of the election of Bayeux, 1463-1666",,"Wood, James B.",1980,English,"['bibliography', 'text']",text,1979
80,Ghosts of the gothic,,"Wilt, Judith",1980,English,"['bibliography', 'text']",text,1980
81,tale of the tribe,,"Bernstein, Michael Andre",1980,English,"['bibliography', 'biography', 'text']",text,1980
82,Concentration in the book-publishing and bookselling industry,,United States,,English,"['bibliography', 'government publication']",text,1980
83,Papers of Jerome S. Bruner [accessions],1930-2015,"Bruner, Jerome S. (Jerome Seymour)",2015,English,"['Black-and-white photographs.', 'Color photographs.', 'Black-and-white slides.', 'Lantern slides.', 'Compact disks.', 'Floppy disks.']","{'@collection': 'yes', '@manuscript': 'yes', '#text': 'mixed material'}",2008
84,Apocalypse,,"[['Keery, James'], ['Carcanet Press (Manchester, England)']]",2020,English,text,text,2019
85,"Gödel, Escher, Bach",,"Hofstadter, Douglas R.",1980,English,bibliography,text,1981
86,"American comic book chronicles : the 1980s, 1980-1989",NaN,"[['Dallas, Keith'], ['TwoMorrows Publishing']]",2019,English,"['bibliography', 'text', 'History.']",text,2024
87,Saitō Shōzō chosakushū,NaN,"[['Saitō, Shōzō'], ['Gotō, Kenji'], ['斎藤昌三'], ['後藤憲二.']]",1981,Japanese,"['bibliography', 'text', 'Bibliographies']",text,1999
88,Walt Whitman among the French,,"Erkkila, Betsy",1980,English,"['bibliography', 'biography', 'text']",text,1980
89,Wallace Stevens,,"[['Doggett, Frank A.'], ['Buttel, Robert']]",1980,English,"['bibliography', 'biography', 'text']",text,1979
90,"Bibliotheca cantiana, or, Antiquarian Kentish books",NaN,NaN,9999,English,"['bibliography', 'Bibliographies']",text,1985
91,ABC for book collectors,,"[['Carter, John'], ['Barker, Nicolas']]",,English,"['dictionary', 'text', 'dictionaries.', 'Dictionaries', 'Dictionaries', 'Dictionnaires.', 'Dictionary']",text,1982
92,Renegade,,"Turner, Frederick W.",2011,English,"['bibliography', 'text', 'Criticism, interpretation, etc.', 'History']",text,2011
93,1980s,a critical and transitional decade,"[['Moffitt, Kimberly R.'], ['Campbell, Duncan A.']]",2011,English,"['bibliography', 'History']",text,2010
94,GWTW,the screenplay,"[['Howard, Sidney Coe'], ['Harwell, Richard Barksdale']]",1980,English,"['text', 'screenplays.', 'Drama', 'Screenplays', 'Drama', 'Théâtre.', 'Scénarios de cinéma.']",text,1979
95,Byzantine book illumination and ivories,,"Weitzmann, Kurt",,English,bibliography,text,1980
96,American singing book,,"Cheney, Simeon Pease",,English,"['Vocal music.', 'Biographies', 'Vocal music']",notated music,1993
97,prelibri,NaN,"[['Munari, Bruno'], ['Danese (Firm)']]",,Italian,"['book objects.', ""artists' books (books)"", ""Artists' books"", 'Instructional and educational works', 'Toy and movable books', ""Artists' books"", 'Toy and movable books', 'Instructional and educational works', 'Book objects', 'Juvenile works', 'Specimens', ""Artists' books-Italy.""]",text,1994
98,Zidnī ʻilman,al-kitāb al-awwal,"[['Murray, Will'], ['Khaṭīb, Ramzī A.'], ['Khaṭīb, Aḥmad.'], ['Mari, Will (William)'], ['Humphries, Frank.'], ['خطيب، رمزي ا.'], ['خطيب، احمد.']]",1980,Arabic,"['text', 'still image', 'Juvenile works']",text,2008
99,Afghanistan,,"Dupree, Louis",1980,English,"['bibliography', 'text']",text,1980
100,Children of the sun,,"Green, Martin Burgess",1976,English,bibliography,text,1981
101,National folk sports in the USSR,,"Lukashin, I︠U︡. (I︠U︡riĭ)",1980,English,NaN,text,1981
102,Research handbook on international child abduction,,"[['Freeman, Marilyn'], ['Taylor, Nicola'], ['Edward Elgar Publishing']]",2023,English,"['bibliography', 'text', 'Electronic books.']",text,2023
103,Higher cortical functions in man,NaN,"[['Lurii︠a︡, A. R. (Aleksandr Romanovich)'], ['Teuber, Hans-Lukas'], ['Pribram, Karl H.'], ['Haigh, Basil']]",1980,English,"['bibliography', 'Kongress (1981)']",text,1980
104,commonplace book of Robert Reynes of Acle,,"[['Reynes, Robert'], ['Louis, Cameron'], ['Bodleian Library']]",,English,"['bibliography', 'Commonplace-books.']",text,1979
105,Health & human nature,,"Snyder, D. Paul",1980,English,bibliography,text,1980
106,Processi del S. Uffizio di Venezia contro ebrei e giudaizzanti,NaN,"[['Ioly Zorattini, Pier Cesare'], ['Prada, Massimo']]",1999,Italian,"['bibliography', 'History', 'Sources']",text,1982
107,Free verse,,"Hartman, Charles O.",1980,English,"['bibliography', 'text']",text,1980
108,Arc pair grammar,,"[['Johnson, David E.'], ['Postal, Paul Martin']]",1980,English,"['bibliography', 'text']",text,1980
109,Knowledge,,"Machlup, Fritz",1980,English,"['bibliography', 'text']",text,2014
110,Political opposition and local politics in Japan,,"[['Steiner, Kurt'], ['Krauss, Ellis S.'], ['Flanagan, Scott C.'], ['Joint Committee on Japanese Studies']]",1980,English,"['bibliography', 'conference publication', 'text']",text,1980
111,Milton and the martial muse,,"Freeman, James A.",1980,English,"['bibliography', 'biography', 'text']",text,1980
112,Coup theories and officers' motives,,"Horowitz, Donald L.",1980,English,"['bibliography', 'text']",text,1980
113,Howard Mumford Jones,,"Jones, Howard Mumford",,English,"['bibliography', 'biography', 'Biography', 'Autobiographies', 'Biographies', 'Biographies', 'Biographies.']",text,1978
114,Freedom,my book of firsts,"Dugard, Jaycee Lee",2016,English,"['biography', 'text', 'Autobiographies', 'Biographies', 'Autobiographies', 'Autobiographies', 'Biographies', 'Autobiographies.']",text,2016
115,Freedman's spelling book,The Freedman's second reader ; The Freedman's third reader,NaN,1980,English,"['text', 'Readers (Publications)', 'Spellers.', 'Readers.']",text,1980
116,Books and book-collecting,,"Brook, G. L. (George Leslie)",,English,bibliography,text,1980
117,James family,,"Matthiessen, F. O. (Francis Otto)",1980,English,bibliography,text,1979
118,Queer communion,,"[['Jones, Amelia'], ['Campbell, Andy'], ['JSTOR (Organization)']]",2020,English,"['bibliography', 'text']",text,2020
119,Oxford book of verse in English translation,,"Tomlinson, Charles",,English,"['bibliography', 'Translations']",text,1980
120,Women writers and poetic identity,,"Homans, Margaret",1980,English,"['bibliography', 'biography', 'text']",text,1980
121,Freedom and domination,,"[['Rustow, Alexander'], ['Rustow, Dankwart A.'], ['Attanasio, Salvator']]",1980,English,"['bibliography', 'text']",text,1980
122,Symbol and truth in Blake's myth,,"Damrosch, Leopold",1980,English,"['bibliography', 'biography', 'text']",text,1980
123,growth of the law in medieval Russia,,"Kaiser, Daniel H.",1980,English,"['bibliography', 'text']",text,1980
124,Translating and publishing African language(s) and literature(s),,"Adeaga, Tomi.",2006,English,"['bibliography', 'Criticism, interpretation, etc.']",text,2006
125,From New Deal banking reform to World War II inflation,,"[['Friedman, Milton'], ['Schwartz, Anna J. (Anna Jacobson)'], ['National Bureau of Economic Research']]",1980,English,"['bibliography', 'text']",text,1981
126,"Singapore book world, special issue on creative writing",,National Book Development Council of Singapore,1980,English,bibliography,text,1985
127,Luuanda,,"[['Vieira, José Luandino'], ['Bender, Tamara L.']]",,English,"['short stories.', 'Short stories', 'Fiction', 'Short stories', 'Nouvelles.']",text,1981
128,Canyon Cinema,the life and times of an independent film distributor,"MacDonald, Scott",2008,English,"['bibliography', 'government publication']",text,2007
129,"Martyrdom, Mysticism and Dissent",,"Seyed-Gohrab, Asghar",2021,English,"['dictionary', 'government publication', 'text']",text,2022
130,last hiding places of snow,,"[['Kinnell, Galway'], ['Cobb, Jeffrey Bryant'], ['Moser, Barry'], ['Miller, Steve'], ['Red Ozier Press']]",1980,English,"['text', 'poetry and poems.', 'poetry.', 'Poetry', 'Specimens', 'Poetry', 'Private press books.', 'Poésie.']",text,1983
131,Practical orthopedics,,"[['Mercier, Lonnie R.'], ['Pettid, Fred J.']]",1980,English,bibliography,text,1980
132,"Fathers, mothers, and society",,"[['Rapoport, Rhona.'], ['Rapoport, Robert N.'], ['Strelitz, Ziona']]",1980,English,bibliography,text,1979
133,Report,,"[['Australian Royal Commission of Inquiry into Drugs'], ['Williams, E. S. (Edward Stratten)']]",,English,government publication,text,1981
134,Building with Wood and Other Aspects of Nineteenth-Century Building in Central Canada,,"Rempel, John I.",1980,English,"['dictionary', 'government publication', 'text']",text,2024
135,Compassionate and free,,"Katoppo, Marianne",1980,English,"['bibliography', 'text', 'History']",text,1980
136,"Humanist editions of statutes and histories at the Centre for Reformation and Renaissance Studies, Victoria University, Toronto",NaN,"[['Victoria University (Toronto, Ont.)'], ['Eisenbichler, Konrad'], ['MacDonald, Gay'], ['Turner, C.']]",,English,"['bibliography', 'Bibliographies-Catalogs', 'Catalogs', 'History']",text,1985
137,labyrinth,,"[['Argon, Ben'], ['Cox, Gary'], ['Daigle, Christine']]",2020,English,"['text', 'still image', 'Graphic novels', 'Graphic novels', 'Nonfiction comics', 'Humorous comics', 'Comics (Graphic works)', 'Allegories', 'Graphic novels', 'Comics (Graphic works)', 'Allegories', 'Humorous comics', 'Nonfiction comics', 'Bandes dessinées.', 'Allégories.', 'Bandes dessinées humoristiques.', 'Bandes dessinées autres que de fiction.']",text,2019
138,Kleinere Werke,Veröffentlichtes und bisher Unveröffentlichtes aus den Jahren 1972 bis 1980 = Smaller works,"Roth, Dieter",,German,"['text', ""Artists' books.""]",text,1982
139,Boku no Songokū,NaN,"[['Tezuka, Osamu'], ['手塚治虫']]",1980,Japanese,"['comic strips.', 'comic books.', 'Comics (Graphic works)', 'Graphic novels', 'Fantacy fiction.', 'Comics (Graphic works)', 'Graphic novels', 'Bandes dessinées.']",text,1999
140,Furaingu Ben,NaN,"[['Tezuka, Osamu'], ['手塚治虫']]",1980,Japanese,"['comic strips.', 'comic books.', 'Comics (Graphic works)', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'Bandes dessinées.']",text,1999
141,Fundamentals of hematology,,"Rifkind, Richard A.",1980,English,bibliography,text,1980
142,Anticoagulants and fibrinolytics,,"[['Chazov, E. I.'], ['Lakin, Kapitol Mikhaĭlovich.'], ['Lakin, Kapitol Mikhaĭlovich']]",1980,English,NaN,text,1980
143,Open economy macroeconomics,,"Dornbusch, Rudiger",1980,English,bibliography,text,1980
144,Juristic concepts of ancient Indian polity,,"[['Singh, Nagendra.'], ['Institute of Constitutional and Parliamentary Studies (New Delhi, India)']]",,English,"['bibliography', 'History']",text,1982
145,Pituitary adenoma,,"[['Reichlin, Seymour'], ['Post, Kalmon D.'], ['Jackson, Ivor M. D.']]",1980,English,NaN,text,1980
146,origins of the cold war in the Near East,,"Kuniholm, Bruce Robellet",1980,English,"['bibliography', 'text']",text,1979
147,Philosophy and the state in France,,"Keohane, Nannerl O.",1980,English,"['bibliography', 'text']",text,2017
148,Guide to library resources for nursing,,"[['Strauch, Katina P.'], ['Brundage, Dorothy J.']]",1980,English,"['bibliography', 'Abstracts', 'Bibliography', 'Bibliographies']",text,1980
149,Collecting Voltaire,,"[['Brown, Harcourt'], ['Thomas Fisher Rare Book Library']]",,English,text,text,1981
150,Fables,,"[['Lobel, Arnold'], ['Lobel, Arnold'], ['Alexanian, Kohar'], ['Harper & Row, Publishers'], ['Boro Typographers'], ['Offset Separations Corp'], ['Federated Lithographers-Printers'], ['Publishers Book Bindery']]",1980,English,"['Fables', ""Children's stories-1980."", 'Short stories', 'Fables-1980.', 'Dust jackets (Bindings)-1980.', 'Fables', 'Fiction', 'Juvenile works', 'Fables.', 'Fiction.', 'Juvenile works.', 'Picture books', 'Picture books']",text,1979
151,"Government, regulation, and the economy",,"Siegan, Bernard H.",1980,English,bibliography,text,1980
152,book of garlic,,"Harris, Lloyd J.",1980,English,"['bibliography', 'Folklore']",text,1985
153,Science and engineering literature,,"[['Malinowsky, H. Robert (Harold Robert)'], ['Richardson, Jeanne M.'], ['Richardson, Jeanne M.']]",,English,"['bibliography', 'Bibliographies']",text,1980
154,Saiiki shutsudo butten no kenkyū,"""Saiiki kōko zufu"" no Kanbun butten","[['Inokuchi, Taijun'], ['Ryūkoku Daigaiku'], ['井ノ口泰淳'], ['龍谷大学']]",1980,Japanese,"['Criticism, interpretation, etc.', 'Sacred books']",text,1991
155,selected letters of William James,NaN,"[['James, William'], ['Hardwick, Elizabeth']]",1980,English,"['biography', 'Records and correspondence']",text,1980
156,How difficult it is to be God,"Shining Path's politics of war in Peru, 1980-1999","[['Degregori, Carlos Iván.'], ['Stern, Steve J.'], ['Appelbaum, Nancy P.']]",2012,English,"['bibliography', 'government publication', 'History', 'History.']",text,2012
157,portrait of the author in sixteenth-century France,,"[['Mortimer, Ruth'], ['Hanes Foundation for the Study of the Origin and Development of the Book'], ['University of North Carolina at Chapel Hill']]",,English,"['Bibliographies', 'History', 'Portraits']",text,1981
158,Pursuit of the Presidency 1980,,"[['Broder, David S.'], ['Harwood, Richard.']]",1980,English,NaN,text,1981
159,War and hope,,"[['Norodom Sihanouk'], ['Feeney, Mary']]",1980,English,History,text,1979
160,Looking back,memoirs of K. Santhanam (1895-1980),"Santhanam, K. (Kasturiranga)",,English,"['biography', 'Biographies']",text,2001
161,After my fashion,,"Powys, John Cowper",,English,Domestic fiction.,text,1981
162,Biochemistry and function of phagocytes,,"[['European Conference on Phagocytic Leucocytes (2nd : 1980 : Trieste, Italy)'], ['Rossi, F. (Filippo)'], ['Patriarca, P. (Pierluigi)']]",1982,English,"['bibliography', 'conference publication', 'Congress', 'Conference papers and proceedings', 'Conference papers and proceedings.']",text,1981
163,Golden treasury of the familiar,,"Woods, Ralph Louis",1980,English,Collections,text,1980
164,Completing Piaget's project,,"Dale, Edward J.",2014,English,text,text,2014
165,Drawings for book illustration ,,"[['Becker, David P.'], ['Houghton Library']]",,English,"['bibliography', 'text', 'exhibition catalogs.', 'Exhibition catalogs', 'Exhibition catalogs', ""Catalogues d'exposition.""]",text,1980
166,Hidden election,,"[['Rogers, Joel'], ['Ferguson, Thomas']]",1981,English,bibliography,text,1981
167,Crossing the River Kabul,an Afghan family odyssey,"McLean, Kevin",2017,English,"['bibliography', 'biography', 'text', 'Biographies.']",text,2016
168,Personal politics,,"Evans, Sara M. (Sara Margaret)",1980,English,bibliography,text,1979
169,Britannica book of English usage,NaN,"[['Timmons, Christine.'], ['Gibney, Frank']]",,English,bibliography,text,1980
170,History of the idea of progress,,"Nisbet, Robert A.",1980,English,NaN,text,1980
171,true history of the Elephant Man,,"[['Howell, Michael'], ['Ford, Peter'], ['Ford, Peter']]",1980,English,"['bibliography', 'biography', 'Biography', 'Biographies', 'Biographies']",text,1981
172,Books Are Weapons,,"Doucette, Siobhan",2018,English,"['text', 'Electronic books. ']",text,2018
173,Federal statutes on environmental protection ,,"Freedman, Warren",,English,NaN,text,1988
174,Danorum Regum heroumque historia,the text of the first edition with translation and commentary in three volumes,"[['Saxo'], ['Christiansen, Eric.'], ['Christiansen, Eric']]",1981,English,bibliography,text,1981
175,Greek homosexuality,,"Dover, Kenneth James.",1978,English,"['bibliography', 'History']",text,1979
