,title,subtitle,author,publication_date,language,genre,resource_type,creation_date
3121,Gossip,,"[['Sagan, Miriam'], ['Tres Chicas Books']]",,English,essay,text,2007
3122,Lai zi Boshidun mei shu guan Zhong wen gu ji pai mai zhuan chang =,Rare books,"[['Zhongguo jia de guo ji pai mai you xian gong si'], ['Museum of Fine Arts, Boston'], ['中國嘉國際拍賣有限公司'], ['中國嘉德國際拍賣有限公司']]",2007,Chinese,"['catalog', 'text', 'Catalogs']",text,2007
3123,On The wealth of nations,,"O'Rourke, P. J.",2007,English,"['bibliography', 'Wit and Humor', 'humor.', 'Humor', 'Humor', 'Humour.']",text,2006
3124,Marketing literature,,"[['Squires, Claire'], ['Palgrave Connect (Online service)']]",2007,English,"['bibliography', 'text', 'Electronic books.', 'Criticism, interpretation, etc.']",text,2009
3125,Whare Korero,best of Reed writing,"[['McLean, Gavin'], ['Reed Publishing (NZ) Ltd'], ['Reed Publishing (N.Z.) Ltd']]",,English,"['bibliography', 'Short stories', 'Short stories']",text,2007
3126,Descriptive cataloging of rare materials (books),NaN,"[['Association of College and Research Libraries'], ['Library of Congress'], ['Association of College and Research Libraries']]",,English,"['bibliography', 'government publication', 'Rules', 'Handbooks and manuals', 'Handbooks and manuals.', 'Handbooks and manuals.', 'Handbooks and manuals']",text,2006
3127,Bad faith,,"Kressel, Neil Jeffrey.",,English,bibliography,text,2007
3128,companion to the history of the book,NaN,"[['Eliot, Simon'], ['Rose, Jonathan']]",,English,"['bibliography', 'History']",text,2006
3129,Forensic anthropology,,"[['Brickley, Megan'], ['Ferllini, Roxana']]",2007,English,"['bibliography', 'Case Reports', 'Case studies']",text,2006
3130,Other people's skin,,"[['Price-Thompson, Tracy'], ['Stovall, TaRessa.']]",,English,Fiction,text,2007
3131,Protect and defend,,"Flynn, Vince.",,English,"['Political fiction', 'Suspense fiction', 'Political fiction', 'Fiction', 'Political fiction', 'Thrillers (Fiction)', 'Thrillers (Fiction)']",text,2007
3132,New York stories of Edith Wharton,NaN,"[['Wharton, Edith'], ['Robinson, Roxana']]",2007,English,"['Short stories', 'Fiction']",text,2007
3133,God,,"Stenger, Victor J.",,English,bibliography,text,2006
3134,Growth divergences,,"[['Ocampo, José Antonio'], ['Jomo K. S. (Jomo Kwame Sundaram)'], ['Vos, Rob'], ['United Nations']]",,English,bibliography,text,2008
3135,Hoshi yo kienaide,NaN,"[['Matsumoto, Reiji'], ['松本零士']]",2007,Japanese,"['Comics (Graphic works)', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'Bandes dessinées.']",text,2009
3136,Akai chō no shōjo,NaN,"[['Umezu, Kazuo'], ['楳図かずお']]",2007,Japanese,"['Comics (Graphic works)', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'Bandes dessinées.']",text,2009
3137,Miniature books,,"[['Bromer, Anne'], ['Edison, Julian I.'], ['Edison, Julian I.'], ['Julian I. Edison Collection of Miniature Books'], ['Harry N. Abrams, Inc'], ['Grolier Club']]",2007,English,"['bibliography', 'text', 'Exhibition catalogs', 'History', 'Specimens']",text,2011
3138,Chinese economy,,"Naughton, Barry.",2007,English,bibliography,text,2006
3139,psychology of Joss Whedon,,"[['Davidson, Joy.'], ['Wilson, Leah.']]",2007,English,"['bibliography', 'Criticism, interpretation, etc.']",text,2007
