,title,subtitle,author,publication_date,languge,genre
740,Through a forest of chancellors,"fugitive histories in Liu Yuan's Lingyan ge, an illustrated book from seventeenth-century Suzhou",B,,English,"['bibliography', 'Criticism, interpretation, etc.', 'History']"
741,I name him me,,"[['Yan, Ma'], ['Nashef, Stephen'], ['Lawson, Sarah'], ['Kuan, Chuck'], ['Newton, Michael'], ['Ugly Duckling Presse'], ['McNaughton & Gunn (Firm)']]",2021,English,"['text', 'poetry.', 'Poetry', 'Translations', 'Poetry', 'Poems.', 'Poems.', 'Poésie.']"
742,Archi & BD,la ville dessinée,"[['Thévenet, Jean-Marc.'], ['Rambert, Francis.'], ['Auquier, Jean.'], [""Cité de l'architecture et du patrimoine (Paris, France)""], [""Institut français d'architecture""]]",2010,French,"['bibliography', 'Comics (Graphic works)']"
743,Shingeki no kyojin =,Attack on titan,"[['Isayama, Hajime'], ['Kōdansha'], ['諫山創']]",2021,Japanese,"['text', 'still image', 'manga (comic books)', 'Graphic novels', 'Manga', 'Comics (Graphic works)', 'Bandes dessinées.', 'Mangas.']"
744,Tense and Aspect in Informal Welsh,,J,2010,English,"['dictionary', 'government publication', 'text']"
745,Hadrian and the Christians,,"[['Bazzana, Giovanni Battista'], ['Calandra, Elena'], ['Capponi, Livia'], ['Galimberti, Alessandro'], ['Galli, Marco'], ['Rizzi, Marco'], ['Rizzi, Marco']]",2010,English,"['dictionary', 'government publication', 'text']"
746,Zimbabwe's new diaspora,,"[['McGregor, JoAnn'], ['Primorac, Ranka']]",2010,English,bibliography
747,Geographies of the book,,"[['Ogborn, Miles'], ['Withers, Charles W. J.']]",2010,English,"['bibliography', 'Congressen (vorm)']"
748,BodyWorld,NaN,S,2010,English,"['text', 'still image', 'Science fiction comic books, strips, etc.', 'Graphic Novel', 'Fictional Work', 'graphic novels.', 'Comics (Graphic works)', 'Graphic novels', 'Science fiction comics', 'Science fiction comic books, strips, etc.', 'Graphic novels', 'Romans graphiques.', 'Romans.']"
749,Irma Boom,biography in books,"[['Boom, Irma.'], ['Lommen, Mathieu'], ['Lane, John A.'], ['Lommen, Mathieu.'], ['Universiteit van Amsterdam'], ['Special Collections UvA']]",2010,English,Miniature books (Printing)
750,Ideal Book,,"[['Capelleveen, Paul van.'], ['Wolf, C. de.'], ['Delft, Marieke T. G. E. van.'], ['Faassen, S. A. J. van.'], ['Kuitert, Lisa.'], ['Oers, Ellen van.'], ['Storm, Reinder'], ['Thomassen, K.'], ['Rijksmuseum Meermanno-Westreenianum'], ['Koninklijke Bibliotheek (Netherlands)'], ['Codex Book Fair and Symposium (3rd : 2011 : Berkeley, Calif.)']]",,English,"['Bibliographies', 'History']"
751,A History of Poetics,,R,2010,English,"['dictionary', 'government publication', 'text']"
752,Complex Emotions and Grammatical Mismatches,,"[['Dziwirek, Katarzyna'], ['Lewandowska-Tomaszczyk, Barbara']]",2010,English,"['dictionary', 'government publication', 'text']"
753,Jews among Christians,Hebrew book illumination from Lake Constance,"Shalev-Eyni, Sarit",2010,English,"['bibliography', 'text']"
754,Picturing Canada,,"[['Edwards, Gail.'], ['Saltman, Judith.']]",2010,English,"['bibliography', 'Criticism, interpretation, etc.', 'History', 'Criticism, interpretation, etc.', 'History.']"
755,Orthodox by Design,,S,2010,English,"['dictionary', 'government publication', 'text']"
756,Vlastʹ knigi,rasskazy o knigakh i knizhnikakh,"[['Lasunskiĭ, O. (Oleg)'], ['Ласунский, О. (Олег)']]",2010,Russian,"['biography', 'text']"
757,Udarnai͡a kniga sovetskoĭ detvory,fotoilli͡ustrat͡sii͡a i fotomontazh v knige dli͡a deteĭ i i͡unoshestva 1920-1930-kh godov,"[['Karasik, Mikhail'], ['Productive Arts (Firm)'], ['Карасик, Михаил']]",2010,Russian,"['bibliography', 'Catalogs', 'Bibliographies', 'History', 'Pictorial works', 'Bibliographies', 'Catalogs', 'Illustrated works']"
758,Scholarly publishing in Africa,,N,2010,English,"['bibliography', 'Fiction']"
759,On books and writers,,"[['Bruccoli, Matthew J. (Matthew Joseph)'], ['Unrue, John C.']]",2010,English,"['bibliography', 'government publication', 'Criticism, interpretation, etc.', 'History']"
760,Hommage à moi,,S,2011,German,"['bibliography', 'text', 'performed music', 'two-dimensional moving image', 'interviews.', 'Interviews', 'Interviews', 'Interviews.']"
761,Best of the seventies. Book 2,NaN,A,2010,English,"['still image', 'text', 'Comics (Graphic works)', 'Graphic novels.', 'Humorous comics.']"
762,Political parties and democracy,,"[['Lawson, Kay'], ['Lanzaro, Jorge Luis.'], ['He, Baogang'], ['Kulik, Anatoly.'], ['Sindjoun, Luc.'], ['Simms, Marian.'], ['Ibrahim, Saad Eddin']]",2010,English,bibliography
763,Momik =,Momik,"[['Matʻevosyan, Karen'], ['Ayvazyan, Argam'], ['Hakobyan, M.'], ['Այվազյան, Արգամ']]",2010,Armenian,"['bibliography', 'text', 'Biography', 'Biographies', 'History', 'Biographies', 'Biographies.']"
764,Pressing the Fight,,"[['Turner, Catherine'], ['Barnhisel, Greg']]",2010,English,"['text', 'Electronic books. ']"
765,Best of the eighties. Book 2,NaN,A,2010,English,"['still image', 'text', 'Comics (Graphic works)', 'Graphic novels.', 'Humorous comics.']"
766,"[Collection of miniature books published and/or printed by Sun Hill Press, North Brookfield, Massachusetts]",NaN,"[['Sun Hill Press'], ['Stoddard, Roger E. (Roger Eliot)'], ['Morist, Hugh'], ['Hyder, Darrell'], ['Hyder, Elisabeth'], ['Orange Art (Woodstock, Conn.)']]",2010,English,"['text', 'Quotations', 'Specimens', 'Miniature books.']"
767,Wrong size fits all,,"[['Freeman, Brad'], ['JAB Books']]",,English,"[""Artists' books-Illinois-Chicago-2010-2019"", ""Artists' books-Illinois."", ""Artists' books""]"
768,Handbook of Medieval Studies,,C,2010,English,"['dictionary', 'government publication', 'text']"
769,Books on Books 8,"Koen Wessing, Chili September 1973","[['Wessing, Koen'], ['Ladd, Jeffrey'], ['Tereehorst, Pauline.']]",,English,"['History', 'Pictorial works']"
770,Weathercraft,,W,,English,"['novel', 'Fantasy comic books, strips, etc.', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'Cartoon', 'Cartoon-United States.', 'Comics (Graphic works)', 'Graphic novels.']"
771,Nietzsche's Gay science,dancing coherence,"[['Langer, Monika M.'], ['Langer, Monika M.']]",,English,bibliography
772,Extending the book,,"[['Blake, Erin C.'], ['Sillars, Stuart'], ['University of Washington Press'], ['Penmor Lithographers (Firm)']]",2010,English,"['bibliography', 'government publication', 'Exhibition catalogs', 'Exhibition catalogs']"
773,cat battles the obeah man,,"Francis, Andrew",2010,English,"['text', 'still image']"
774,Individual criminal liability for the international crime of aggression,,K,2010,English,bibliography
775,Christmas stocking,NaN,"[['Parent, Dan'], ['Archie Comic Publications, Inc']]",2010,English,"['still image', 'text', 'Comics (Graphic works)', 'Humorous comics.']"
776,Archie's haunted house,,"[['Ruiz, Fernando'], ['Archie Comic Publications, Inc']]",2010,English,"['still image', 'text', 'Comics (Graphic works)', 'Humorous comics.']"
777,Selected works,,"[['Poe, Edgar Allan'], ['Edison, Julian I.'], ['Julian I. Edison Collection of Miniature Books'], ['Miniaturbuchverlag (Firm)'], ['Wartelsteiner GmbH (Firm)']]",2010,English,"['text', 'short stories.', 'Specimens', 'Horror fiction', 'Short stories', 'Miniature books', ""Publishers' binding"", 'Type specimens-New Baskerville', 'Nouvelles.']"
778,"Stanovlenie voennogo knigoizdanii͡a v Rossii, XVII--XVIII vv",NaN,"[['Li︠u︡tov, S. N.'], ['Dutov, S. I͡U. (Sergeĭ I͡Urʹevich)'], ['Лютов, С. Н.'], ['Дутов, С. Ю. (Сергей Юрьевич)']]",2010,Russian,"['bibliography', 'text']"
779,"Economic, social and cultural rights as human rights",,"[['Schutter, Olivier de.'], ['Schutter, Olivier de'], ['Edward Elgar Publishing']]",,English,NaN
780,N. Scott Momaday,,"Morgan, Phyllis S.",2010,English,"['bibliography', 'biography', 'government publication', 'Bibliographies', 'Biographies']"
781,Writing 50 years más o menos amongst the gringos,NaN,"Rodríguez, Roberto Cintli",2021,English,"['text', 'Literary collections', 'Literature', 'Littérature.']"
782,Jo Mora,California cowboy and artist,"[['Hiller, Peter'], ['Martinez, Arnold.'], ['Book Club of California']]",,English,"['biography', 'Printed wrappers (Binding)', 'Biographies.', 'Keepsakes.', 'Private press books (Printing)', 'Printing in multiple colors (Printing)', 'Limitation statements (Publishing)', 'Typefaces (Type evidence)-ITS Giovanni.', 'Typefaces (Type evidence)-ITC Tiepolo.', 'Printed wrappers (Binding)', 'Biographies.', 'Keepsakes.', 'Private press books (Printing)', 'Printing in multiple colors (Printing)', 'Limitation statements (Publishing)', 'Typefaces (Type evidence)-ITS Giovanni.', 'Typefaces (Type evidence)-ITC Tiepolo.']"
783,Commentary on the Gospel of John,NaN,"[['Thomas'], ['Larcher, Fabian R. (Fabian Richard)'], ['Weisheipl, James A.'], ['Keating, Daniel A.'], ['Levering, Matthew']]",2010,English,"['bibliography', 'text']"
784,Ceiling of sticks,,B,2010,English,"['government publication', 'Poetry', 'poetry.', 'Poetry', 'Poetry', 'Poésie.']"
785,Betty and Veronica beach party. Volume 1,NaN,"[['Parent, Dan'], ['Archie Comic Publications, Inc']]",2010,English,"['still image', 'text', 'Humorous comics.', 'Comics (Graphic works)']"
786,Ilya Kabakov,artist books 1958-2009 : catalogue raisonńe,"[['Kabakov, Ilʹi︠a︡ Iosifovich'], ['Haldemann, Matthias'], ['Seeberger, Nicole'], ['Obrist, Marco'], ['Kunsthaus Zug']]",2010,English,"['bibliography', 'catalogues raisonnés.', 'Catalogs', 'Catalogues raisonneÌ\x81s', 'Oeuvrecatalogi (vorm)', 'Catalogues raisonnés', 'Catalogues raisonnés.']"
787,Ishutaru no musume,Ono Otsū den,"[['Yamato, Waki'], ['大和和紀']]",2017,Japanese,"['bibliography', 'still image', 'Biography', 'Biographies', 'Comics (Graphic works)', 'Graphic novels', 'Historical fiction', 'History', 'Comics (Graphic works)', 'Graphic novels', 'Historical fiction', 'Biographies', 'Bandes dessinées.', 'Biographies.']"
788,Writing successful academic books ,,H,2010,English,text
789,amazing screw-on head and other curious objects,,"[['Mignola, Mike'], ['Mignola, Katie'], ['Armstrong, Jason'], ['Stewart, Dave']]",,English,"['novel', 'Occult fiction', 'Short stories', 'Graphic novels', 'Paranormal fiction.', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'Occult fiction.', 'Graphic novels.', 'Short stories.', 'Graphic novels-U.S.A.-2010.', 'Comic books-U.S.A.-2010.', 'Horror comics-U.S.A.-2010.']"
790,Suspended animation,,O,2010,English,"['bibliography', 'Criticism, interpretation, etc.', 'History']"
791,Maṣādir al-maktabah al-ʻArabīyah,NaN,"[['Muʻawwaḍ, Sulaymān'], ['معوض، سليمان،']]",2010,Arabic,"['bibliography', 'Bibliographies', 'Book reviews', 'Book reviews']"
792,Declining inequality in Latin America,a decade of progress?,"[['López-Calva, Luis Felipe'], ['Lustig, Nora.'], ['United Nations Development Programme']]",2010,English,"['bibliography', 'text']"
793,Too much to know,,"Blair, Ann",2010,English,"['bibliography', 'text', 'History']"
794,Assessing change in psychoanalytic psychotherapy of children and adolescents,,"[['Tsiantis, J. (John)'], ['Trowell, Judith'], ['European Federation for Psychoanalytic Psychotherapy in the Public Health Services']]",2010,English,bibliography
795,Is Diss a System?,,"[['Kelman, Ari Y.'], ['Kelman, Ari Y.']]",2010,English,"['dictionary', 'government publication', 'text']"
796,Counting on chance,"25 years of artists' books by Robin Price, publisher","[['Price, Robin (Glenna Robin)'], ['Taraba, Suzy.'], ['Rogan, Clare I.'], ['Bright, Betty'], ['Witthus, Rutherford W.'], ['Davison Art Center']]",,English,"['bibliography', 'Exhibition catalogs (Genre)', 'Printing in multiple colors (Printing)', 'Catalogues raisonneÌ\x81s', 'Exhibition catalogs', 'Catalogues raisonneÌ\x81s', 'Exhibition catalogs.', 'Exhibition catalogs']"
797,grabados en la obra de Juan Pablos,,G,,Spanish; Castilian,"['bibliography', 'text', 'History']"
798,Toward a Psychology of Art,,"[['Arnheim, Rudolf'], ['Arnheim, Rudolf']]",2010,English,"['dictionary', 'government publication', 'text']"
799,libro de los libros,NaN,"[['Villegas Jiménez, Benjamín'], ['Ramírez, Fabio (Ramírez Muñoz)'], ['Giraldo, Juan David'], ['López, Andrés Mauricio'], ['Pontificia Universidad Javeriana']]",2011,Spanish; Castilian,"['bibliography', 'text', 'still image', 'Bibliographies', 'Catalogs', 'Pictorial works']"
800,Burake =,Blessings : drawn from Ge'ez scrolls,"[['Bogardus, Peter'], ['Bogardus, Peter'], ['Michael, Zelalem Haile.'], ['Larson, Arthur'], ['Bixler, Michael'], ['Gray Parrot, Inc'], ['Khelcom Press (New York, N.Y.)']]",2010,English,"['text', 'Limp bindings.', ""Artists' books"", 'Letterpress printing.', 'woodcuts (prints)', 'photogravures (prints)', ""artists' books (books)"", ""Artists' books"", 'Pictorial works', ""Artists' books"", ""Binders' tickets (Binding)-Gray Parrot, Inc."", 'Clamshell boxes (Binding)', 'Accordion fold format (Binding)', ""Artists' books-New York (State)-New York."", ""Paper evidence (Paper)-Iwano's kumohada mashi."", ""Authors' autographs (Provenance)-Bogardus, Peter."", 'Limitation statements (Publishing)', 'Typefaces (Type evidence)-Monotype Perpetua.', 'Héliogravures.', ""Livres d'artistes.""]"
801,Writing to survive,"a commentary on Sidonius Apollinaris, Letters, Book 7",W,9999,English,"['bibliography', 'Criticism, interpretation, etc.', 'Criticism, interpretation, etc.', 'History', 'Sources']"
802,"Life, Death and Representation",,"[['Attanasio, Donato'], ['Birk, Stine'], ['Davies, Glenys'], ['Elsner, Jaś'], ['Elsner, Jaś'], ['Ewald, Björn C.'], ['Herrmann, John J.'], ['Huskinson, Janet'], ['Huskinson, Janet'], ['Keuren, Frances van'], ['Lorenz, Katharina'], ['Newby, Zahra'], ['Prado-Vilar, Francisco'], ['Russell, Ben'], ['Thomas, Edmund'], ['Trout, Dennis']]",2010,English,"['dictionary', 'government publication', 'text']"
803,Arabesuku,NaN,"[['Yamagishi, Ryōko'], ['山岸凉子']]",2010,Japanese,"['text', 'still image', 'manga (comic books)', 'Comics (Graphic works)', 'Manga', 'Manga', 'Mangas.']"
804,Expanding the American mind,books and the popularization of knowledge,L,2010,English,"['bibliography', 'text']"
805,Samnangsŏng,kŭrimch'aek,"[[""Yi, Chong-ch'ŏl""], [""Kim, Myŏng-ch'ŏl""], ['리정철.'], ['김명철.'], ['리일룡.']]",2010,Korean,"['comic strips.', 'comic books.', 'Comics (Graphic works)', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels', 'Bandes dessinées.']"
806,Pressing the fight,"print, propaganda, and the Cold War","[['Barnhisel, Greg'], ['Turner, Catherine']]",2010,English,"['bibliography', 'government publication', 'History']"
807,Shoei de tadoru Kansai no shuppan 100,"Meiji, Taishō, Shōwa no chinpon kisho","[['Hayashi, Tetsuo'], ['林哲夫']]",2010,Japanese,NaN
808,Tommaso Campanella,the book and the body of nature,E,2010,English,"['bibliography', 'biography', 'History']"
809,How I made it to eighteen,a mostly true story,W,,English,"['Graphic novels', 'Graphic novels-United States.', 'Graphic novels', 'Graphic Novel', 'Popular Work', 'Juvenile Literature', 'Personal Narrative', 'Comics (Graphic works)', 'Fiction', 'Graphic novels', 'Juvenile works']"
810,Lehmann Workshop,the Jewish book in and around Amsterdam,"[['Manfred R. Lehmann Memorial Master Workshop in the History of the Jewish Book (10th : 2010 : Philadelphia, Pa.)'], ['Schrijver, Emile G. L.'], ['University of Pennsylvania'], ['University of Pennsylvania'], ['University of Pennsylvania'], ['Walsh Video']]",2010,English,"['videorecording', 'Lecture', 'lectures.', 'Lectures', 'Feature films', 'History', 'Nonfiction films', 'Feature films', 'Nonfiction films', 'Lectures', 'Films autres que de fiction.', 'Conférences.']"
811,Research at the intersection of the physical and life sciences,,National Research Council (U.S.),2010,English,"['bibliography', 'conference publication', 'text', 'Electronic books.', 'Congress', 'Electronic books.', 'Conference papers and proceedings']"
812,Journey through the afterlife,,"Taylor, John H.",,English,bibliography
813,Tan'gun,Chosŏn yŏksa inmul iyagi kŭrimch'aek,"[['Yi, Kwang-il'], ['Son, Sun-jin.'], ['Kim, Kwang-su'], ['Pae, In-yŏng'], [""Pak, Ch'ŏl-nam.""], [""Pak, Ch'ang-ch'ŏl""], ['리광일.'], ['손순진.'], ['김광수.'], ['배인영.'], ['박철남.'], ['박창철.']]",2010,Korean,"['text', 'History', 'Comics (Graphic works)']"
814,books to come,,"[['Loney, Alan'], ['Quilter, Jenni'], ['Schlesinger, Kyle'], ['Cuneiform Press']]",,English,"['essay', 'New Zealand essays-21st century.', 'Typefaces (Type evidence)-Quadraat.']"
815,Biological psychology,,"[['Breedlove, S. Marc'], ['Watson, Neil V. (Neil Verne)'], ['Rosenzweig, Mark R.']]",2010,English,bibliography
816,Dante's Divine comedy,NaN,"[['Dante Alighieri'], ['Chwast, Seymour']]",2010,English,"['Graphic novels', 'Graphic novels-United States.', 'Comic books, strips, etc.', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels']"
817,Leading them to the promised land,"Woodrow Wilson, covenant theology, and the Mexican Revolution, 1913-1915",B,2010,English,"['bibliography', 'government publication']"
818,Sovereign Justice,,"[['Angelis, Gabriele'], ['Angelis, Gabriele'], ['Aurelio, Diogo'], ['Barcelos, Paulo'], ['Etinson, Adam'], ['Garrison, James'], ['Kofman, Daniel'], ['Loriaux, Sylvie'], ['Michel, Heiner'], ['Nath, Rekha'], ['Pellegrino, Gianfranco'], ['Queiroz, Regina'], ['Queiroz, Regina'], ['Tan, Kok-Chor'], ['Trifunovic, Milica'], ['Tunhas, Paulo']]",2010,English,"['dictionary', 'government publication', 'text']"
819,Manga no kyakuhon gairon,NaN,"[['Takemiya, Keiko'], ['竹宮惠子']]",2010,Japanese,"['bibliography', 'Criticism, interpretation, etc.']"
820,Fine books & manuscripts from Latin America & Spain 1552-1976,and a collection of Jesuitica,L,2010,English,"['bibliography', 'text', 'Bibliographies', 'Catalogs', 'History']"
821,Denshi shoseki funsenki,NaN,"[['Hagino, Masaaki'], ['萩野正昭']]",2010,Japanese,NaN
822,Nothing,NaN,"[['Teller, Janne'], ['Aitken, Martin'], ['Atheneum Books for Young Readers']]",2010,English,"['novel', 'text', 'Young adult fiction.', 'Fictional Work', 'novels.', 'Novels', 'Young adult works', 'Fiction', 'Juvenile works', 'Fiction', 'Novels', '1000L.', 'Dust jackets (Bindings)-2010.', 'Romans.']"
823,Eternity soup,,"Critser, Greg",2010,English,bibliography
824,histories,NaN,"[['Polybius'], ['Paton, W. R. (William Roger)'], ['Walbank, F. W. (Frank William)'], ['Habicht, Christian'], ['Büttner-Wobst, Theodor'], ['Olson, S. Douglas'], ['Paton, W. R. (William Roger)'], ['Walbank, F. W. (Frank William)'], ['Habicht, Christian'], ['Olson, S. Douglas']]",9999,English,"['bibliography', 'History']"
825,Knight run another episode father's day =,Nait'ŭ rŏn p'adŏsŭ tei,"[['Kim, Sŏng-min'], ['Hwangbo, Hye-rim'], ['김 성민'], ['황보 혜림']]",2010,Korean,"['still image', 'text']"
826,Akuma-kun =,Akuma kun,"[['Mizuki, Shigeru'], ['水木しげる']]",2010,Japanese,"['Comics (Graphic works)', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels']"
827,blue books,"A book ; Turn of a pang ; French kiss, or, A pang's progress","[['Brossard, Nicole'], ['Claxton, Patricia'], ['Shouldice, Larry'], ['Wilcox, Alana']]",2003,English,Translations
828,new Oxford annotated Bible,New Revised Standard Version : with the Apocrypha : an ecumenical study Bible,"[['Coogan, Michael David'], ['Brettler, Marc Zvi'], ['Newsom, Carol A. (Carol Ann)'], ['Perkins, Pheme']]",2010,English,"['bibliography', 'text', 'Commentaries']"
829,Value in health care,,"[['Institute of Medicine (U.S.)'], ['Yong, Pierre L.'], ['Olsen, LeighAnne'], ['McGinnis, J. Michael'], ['National Academies Press (U.S.)']]",2010,English,"['bibliography', 'conference publication', 'text', 'Electronic book.', 'Congress', 'Electronic books.', 'Conference papers and proceedings', 'Electronic books.']"
830,"Creation, publishing, and criticism",,"[['Nogueira Pereira, María Xesús'], ['Lojo, Laura'], ['Palacios, Manuela']]",2010,English,"['bibliography', 'text', 'Criticism, interpretation, etc.', 'History', 'Aufsatzsammlung.']"
831,High-functioning autism/Asperger syndrome in schools,,"[['Sansosti, Frank J.'], ['Powell-Smith, Kelly A.'], ['Cowan, Richard J.']]",2010,English,bibliography
832,"Aristotle's ""Nicomachean ethics""",NaN,"[['Aristotle'], ['Höffe, Otfried']]",,English,bibliography
833,Shin Tennō ron,gōmanizumu sengen special,"[['Kobayashi, Yoshinori'], ['小林よしのり']]",2010,Japanese,"['bibliography', 'Comics (Graphic works)', 'Comics (Graphic works)', 'Bandes dessinées.']"
834,Ben wu zhen yu,shu ping qi pian,"[['Ge, Zhaoguang'], ['葛兆光']]",2010,Chinese,"['Criticism, interpretation, etc.', 'Reviews']"
835,Lost Illusions,,H,2010,English,"['dictionary', 'government publication', 'text']"
836,"Kniga v Drevneĭ Rusi, (XI-XVI vv.)",NaN,"[['Stoli︠a︡rova, L. V. (Li︠u︡bovʹ Viktorovna)'], ['Kashtanov, S. M. (Sergeĭ Mikhaĭlovich)']]",2010,Russian,"['bibliography', 'History']"
837,State of Ata,the contested imagery of power in Turkey,"[['Mandel, Mike'], ['Zakari, Chantal']]",,English,Artists' books-2010.
838,Who fears death,,"[['Okorafor, Nnedi'], ['EBSCOhost']]",2010,English,"['novel', 'text']"
839,Drawn direct to the plate,,P,2010,English,text
840,Writing successful academic books,,H,,English,bibliography
841,How books work,,"[['Chen, Julie'], ['Meador, Clifton'], ['Flying Fish Press'], ['Columbia College (Chicago, Ill.)']]",,English,"[""Artists' books."", ""Artists' books-California-Berkeley."", ""Artists' books-Illinois-Chicago.""]"
842,Ethnographies of diagnostic work,,"[['Büscher, Monika'], ['Goodwin, Dawn'], ['Mesman, Jessica']]",2010,English,"['bibliography', 'text', 'Electronic books.', 'Cross-cultural studies', 'Electronic books.']"
843,Parse,,"[['Baldessari, John'], ['Ruf, Beatrix']]",,English,"['collages (visual works)', 'Collages', 'Collages', ""Artists' books-Switzerland-Zurich-2010."", 'Collages (Art)']"
844,coming of the book,"the impact of printing, 1450-1800","[['Febvre, Lucien'], ['Martin, Henri-Jean'], ['Nowell-Smith, Geoffrey.'], ['Wootton, David']]",,English,"['bibliography', 'History']"
845,All out!,,"[['Ellis, Albert'], ['Joffe-Ellis, Debbie']]",2010,English,"['bibliography', 'biography', 'Biography', 'Biographies', 'Biographies.']"
846,Used Books,,S,2010,English,"['dictionary', 'government publication', 'text']"
847,Mission to Tibet,"the extraordinary eighteenth-century account of Father Ippolito Desideri, S. J","[['Desideri, Ippolito'], ['Sweet, Michael J. (Michael Jay)'], ['Zwilling, Leonard.']]",,English,"['bibliography', 'biography', 'Biographies', 'History']"
848,Kagagi : the Raven,NaN,"[['Odjick, Jay'], ['Tenascon, Patrick'], ['Arcana Studio']]",2010,English,"['text', 'still image', 'Comics (Graphic works)', 'Superhero comics.']"
849,role of human factors in home health care,,"[['Olson, Steve'], ['National Research Council (U.S.)'], ['National Research Council (U.S.)']]",2010,English,"['bibliography', 'conference publication', 'text', 'Congress', 'Electronic books.', 'Conference papers and proceedings', 'Electronic book.']"
850,Jimi,sounds like a rainbow : a story of the young Jimi Hendrix,"[['Golio, Gary'], ['Steptoe, Javaka'], ['Clarion Books'], ['Houghton Mifflin Harcourt Publishing Company']]",,English,"['bibliography', 'biography', 'Picture books for children.', 'Biographies', 'Juvenile works', 'Picture books', 'Picture books for children.', 'Picture books for children.', ""Authors' autographs (Provenance)-Golio-2010."", ""Illustrators' autographs (Provenance)-Steptoe-2010."", 'Picture books for children.']"
851,rise of China and India in Africa,"challenges, opportunities and critical interventions","[['Cheru, Fantu.'], ['Obi, Cyril.'], ['Nordiska Afrikainstitutet']]",2010,English,bibliography
852,Horizontal Society,,F,2010,English,"['dictionary', 'government publication', 'text']"
853,My brother Charlie,,"[['Peete, Holly Robinson'], ['Peete, Ryan Elizabeth'], ['Millner, Denene'], ['Evans, Shane']]",2010,English,"['text', 'still image', 'Picture books for children.', ""Children's writings, American."", 'picture books.', 'Fiction', 'Juvenile works', 'Picture books', 'Picture books for children.', 'Picture books', ""Livres d'images.""]"
854,P'och'ŏn,NaN,"[['Yu, Sŭng-jin'], ['유승진.']]",9999,Korean,Comics (Graphic works)-Korea (South).
855,"Rip, M.D",,"[['Schauer, Mitch.'], ['Vosburg, Mike']]",2010,English,"['Graphic novels', 'Graphic novels.', 'Graphic novels', 'Comics (Graphic works)', 'Graphic novels']"
856,Life among the anthros and other essays,NaN,"[['Geertz, Clifford'], ['Inglis, Fred.']]",2010,English,bibliography
857,"[2,3] ",,"[['Auerbach, Tauba,'], ['Printed Matter, Inc.']]",©2010,English,"['catalog', 'text', 'bookworks.', 'Art', 'Pop-up books', 'Specimens', 'Pop-up books', ""Artists' books-2010."", 'Livres animés.']"
858,"Blogs, wikis, podcasts, and other powerful Web tools for classrooms",,R,2010,English,"['bibliography', 'text']"
859,"art of American book covers,1875-1930",NaN,"[['Minsky, Richard.'], ['George Braziller, Inc'], ['Asia Pacific Offset (Firm)']]",,English,"['bibliography', 'History', ""Authors' autographs (Provenance)-Minsky-2010.""]"
860,Tel Aviv Berlin,,"[['Modan, Rutu'], ['Platthaus, Andreas'], ['Baker, Maya.']]",2010,German,"['biography', 'Comics (Graphic works)']"
861,Founders of comic fandom,,"Schelly, William",2010,English,"['bibliography', 'biography', 'Biographies', 'Criticism, interpretation, etc.', 'History']"
862,Codex Lesbiacus Leimonos 11,,S,2010,English,"['dictionary', 'government publication', 'text']"
863,Uncle Tom's cabin,,"[['Stowe, Harriet Beecher'], ['Ammons, Elizabeth']]",2010,English,"['bibliography', 'Didactic fiction', 'Fiction', 'Didactic fiction', 'Fiction.', 'Didactic fiction']"
864,Tō Shō sōsho kōnyū kanren shiryō,NaN,"[['Takata, Tokio'], ['高田時雄']]",2010,Japanese,"['bibliography', 'Facsimiles', 'History', 'Sources']"
865,Rachel Whiteread drawings,,"[['Pesenti, Allegra'], ['Whiteread, Rachel'], ['Gallagher, Ann.'], ['Hammer Museum'], ['Nasher Sculpture Center'], ['Tate Britain (Gallery)']]",,English,"['bibliography', 'Exhibition catalogs']"
866,Romantic writing and the empire of signs,periodical culture and post-Napoleonic authorship,"Fang, Karen (Karen Y.)",,English,"['bibliography', 'government publication', 'Criticism, interpretation, etc.', 'History']"
867,Al-Farhud,the 1941 Pogrom in Iraq,"[['Yehuda, Zvi'], ['Moreh, Shmuel'], ['Merkaz moreshet Yahadut Bavel (Or Yehudah, Israel)']]",,English,"['Criticism, interpretation, etc.', 'History']"
868,Sometimes the spoon runs away with another spoon,,"[['Bunnell, Jacinta'], ['Kusinitz, Nathaniel'], ['PM Press (Firm)']]",2010,English,"['text', 'Juvenile works', 'Illustrated works', 'Specimens', 'Zines', 'Zines.', 'Coloring books-California-Oakland-2010.', 'Zines.']"
869,Toxic archipelago,,"Walker, Brett L.",2010,English,"['bibliography', 'History']"
870,TJ,Johannesburg photographs 1948-2010,G,2010,English,"['Fiction', 'Pictorial works']"
871,Parrot on a motorcycle,on poetic craft,"[['Nezval, Vítězslav'], ['Rogers, Jennifer'], ['Mees, Amy'], ['Wagner, Mark'], ['Rogers, Jennifer.'], ['Mees, Amy.'], ['Wagner, Mark'], ['Ugly Duckling Presse'], ['X-ing Books']]",2010,English,"['Experimental poetry', 'Czech poetry.', ""Artists' books-New York-Brooklyn-2010."", ""Artists' books-2010."", 'Experimental poetry', 'Experimental poetry']"
