,title,subtitle,author,publication_date,languge,genre
3550,Panorama histórico del libro y la edición digital,,C,2022,Spanish; Castilian,"['bibliography', 'government publication', 'text', 'History']"
3551,Elixir ,,"[['Warsh, Lewis'], ['Warsh, Max'], ['Gordon, Jada,'], ['Ugly Duckling Presse'], ['G & H Soho (Firm),'], ['Prestige Printing (Brooklyn, N.Y.),']]",2022,English,"['text', 'poetry.', 'Poetry', 'Poetry', 'Poems.', 'Poems.', 'Poésie.']"
3552,Maʻa al-Azharī al-taqaddumī,min al-Shaykh al-Subkī ilá Fūltīr,"[['Ṣaʻīdī, ʻAbd al-Mutaʻāl'], ['Muḥammad, Ṣalāḥ ʻAbd al-Fattāḥ'], ['صعيدي، عبد المتعال،']]",2022,Arabic,"['bibliography', 'text', 'Book reviews']"
3553,Muʻjamīyat al-awbiʼah wa-ḥuḍūr al-lisān,dirāsāt fī al-lisānīyāt al-muʻāṣirah,"[['Fahmī, Khālid'], ['فهمي، خالد.']]",2022,Arabic,"['bibliography', 'text', 'Book reviews', 'History']"
3554,Astronomie des Prinzen =,The stars of Samarkand,"[['Ṣūfī, ʻAbd al-Raḥmān ibn ʻUmar'], ['Bibliothèque nationale de France']]",2022,Arabic,"['text', 'still image', 'Early works', 'Facsimiles']"
3555,Blood snow,,O,2022,English,"['text', 'poetry.', 'Poetry', 'Poetry', 'Poésie.']"
3556,ḳonspiratsye in Nirenberg,NaN,"[['Hershḳovits, M. M. (Menaḥem Mendel)'], ['Yiśraʼel, Yehudah'], ['הערשקאוויטש, מ""ם.'], ['ישראל, יהודה.']]",2022,Yiddish,"['text', 'still image', 'Comics (Graphic works)', 'Fiction', 'Comics (Graphic works)', 'Bandes dessinées.']"
3557,Peloponnesian War,NaN,"[['Thucydides'], ['Pelling, C. B. R.']]",2022,English,"['bibliography', 'text', 'Literary criticism', 'History', 'Literary criticism', 'Critiques littéraires.']"
3558,Medieval English Manuscripts and Literary Forms,,B,2022,English,"['dictionary', 'government publication', 'text']"
3559,Scholars and their marginalia in late imperial China,,W,2022,English,"['abstract or summary', 'text', 'History']"
3560,fantasy of the Middle Ages,,"[['Grollemond, Larisa'], ['Keene, Bryan C.'], ['J. Paul Getty Museum']]",2022,English,"['bibliography', 'text', 'still image', 'exhibition catalogs.', 'Illustrated works', 'Exhibition catalogs', 'Exhibition catalogs', 'Illustrated works', ""Catalogues d'exposition."", 'Ouvrages illustrés.']"
3561,As gods,a moral history of the genetic age,C,2022,English,"['bibliography', 'text', 'History']"
3562,Anglican Eucharist in Australia,,D,2022,English,"['bibliography', 'text', 'History']"
